                                                    dF_equ     dF_all  se_dF_block  se_dF_bar     dF_fwd     dF_bwd  ddF_fwd_bwd        dH     se_dH     sd_dE  overlap_all  overlap_equ      nA      nB
SolvSimEle0_Vdw0.45_Gas/solvwaterboxproddyn.bar   0.018187   0.015904     0.004151   0.001632   0.026296   0.008258     0.018039  0.035330  0.009744  0.061728     0.998595     0.998867    46.0    38.0
SolvSimEle0_Vdw0.52_Gas/solvwaterboxproddyn.bar  -0.056965  -0.072781     0.014073   0.002801  -0.113853  -0.044266     0.069587 -0.001780  0.017384  0.119642     0.994821     0.997884    55.0    64.0
SolvSimEle0_Vdw0.56_Gas/solvwaterboxproddyn.bar  -0.137507  -0.130169     0.025505   0.008843  -0.102518  -0.149008     0.046491 -0.000532  0.050805  0.169240     0.989771     0.989873    73.0    58.0
SolvSimEle0_Vdw0.58_Gas/solvwaterboxproddyn.bar  -0.067928  -0.067155     0.005147   0.004130  -0.055466  -0.076356     0.020890 -0.027984  0.020987  0.070103     0.998209     0.998288    70.0    73.0
SolvSimEle0_Vdw0.62_Gas/solvwaterboxproddyn.bar  -0.119641  -0.113694     0.008144   0.004169  -0.104998  -0.121421     0.016423 -0.098437  0.024437  0.095711     0.996794     0.997042    89.0    31.0
SolvSimEle0_Vdw0.64_Gas/solvwaterboxproddyn.bar  -0.131565  -0.130408     0.004037   0.005271  -0.129300  -0.130549     0.001249 -0.098819  0.031032  0.092353     0.997171     0.997547    47.0    91.0
SolvSimEle0_Vdw0.67_Gas/solvwaterboxproddyn.bar  -0.269876  -0.263479     0.006692   0.011616  -0.278225  -0.256187     0.022039 -0.011075  0.065383  0.166199     0.991246     0.987109    94.0    53.0
SolvSimEle0_Vdw0.6_Gas/solvwaterboxproddyn.bar   -0.082179  -0.084568     0.007131   0.004432  -0.096114  -0.075874     0.020241 -0.080108  0.026903  0.069089     0.998348     0.998741    29.0    55.0
SolvSimEle0_Vdw0.75_Gas/solvwaterboxproddyn.bar  -0.837556  -0.826886     0.012635   0.014061  -0.847266  -0.820835     0.026431 -0.460109  0.088119  0.431494     0.953544     0.948834   245.0   137.0
SolvSimEle0_Vdw0.7_Gas/solvwaterboxproddyn.bar   -0.359407  -0.359740     0.009810   0.009526  -0.361485  -0.356834     0.004651 -0.190924  0.058738  0.214346     0.986142     0.984703   149.0    97.0
SolvSimEle0_Vdw0.85_Gas/solvwaterboxproddyn.bar  -1.399036  -1.394015     0.015592   0.013966  -1.400801  -1.408882     0.008081 -1.047462  0.083701  0.452876     0.935148     0.936510   194.0   294.0
SolvSimEle0_Vdw0.8_Gas/solvwaterboxproddyn.bar   -1.127255  -1.123480     0.015726   0.012493  -1.084971  -1.132516     0.047545 -0.577544  0.084150  0.462258     0.940607     0.939856   287.0   265.0
SolvSimEle0_Vdw0.95_Gas/solvwaterboxproddyn.bar  -1.731069  -1.741198     0.016019   0.016215  -1.710339  -1.761097     0.050758 -1.427884  0.094658  0.546098     0.904836     0.906129   312.0   226.0
SolvSimEle0_Vdw0.9_Gas/solvwaterboxproddyn.bar   -1.645432  -1.631263     0.010341   0.016717  -1.653150  -1.623071     0.030078 -1.212477  0.091618  0.523765     0.920046     0.915798   219.0   219.0
SolvSimEle0_Vdw1_Gas/solvwaterboxproddyn.bar     -1.646701  -1.647334     0.021010   0.011801  -1.642058  -1.654580     0.012523 -1.400322  0.073896  0.538478     0.922781     0.917506   646.0   324.0
SolvSimEle1_Vdw1_Gas/solvwaterboxproddyn.bar     -0.087994  -0.089991     0.005299   0.004598  -0.091888  -0.088049     0.003838 -0.057303  0.026106  0.051297     0.999074     0.998951    28.0    27.0
SolvSimEle0.1_Vdw1_Gas/solvwaterboxproddyn.bar   -0.010312  -0.010445     0.000094   0.000031  -0.010234  -0.010510     0.000275 -0.009978  0.000194  0.000861     1.000000     1.000000    30.0    77.0
SolvSimEle0.2_Vdw1_Gas/solvwaterboxproddyn.bar   -0.029647  -0.029527     0.000472   0.000099  -0.029752  -0.029300     0.000453 -0.028787  0.000605  0.002532     0.999998     0.999998    33.0    30.0
SolvSimEle0.3_Vdw1_Gas/solvwaterboxproddyn.bar   -0.047278  -0.047448     0.000073   0.000159  -0.047572  -0.047123     0.000449 -0.045662  0.000967  0.004590     0.999994     0.999995    60.0    35.0
SolvSimEle0.4_Vdw1_Gas/solvwaterboxproddyn.bar   -0.063052  -0.063062     0.000595   0.000215  -0.063177  -0.062955     0.000222 -0.060235  0.001272  0.007336     0.999981     0.999992    29.0    58.0
SolvSimEle0.5_Vdw1_Gas/solvwaterboxproddyn.bar   -0.076737  -0.075043     0.001391   0.000410  -0.070688  -0.076591     0.005903 -0.069975  0.002571  0.010788     0.999964     0.999996     9.0    33.0
SolvSimEle0.6_Vdw1_Gas/solvwaterboxproddyn.bar   -0.080491  -0.085812     0.002080   0.000596  -0.088492  -0.079188     0.009304 -0.077334  0.003901  0.015379     0.999922     0.999954    32.0    13.0
SolvSimEle0.7_Vdw1_Gas/solvwaterboxproddyn.bar   -0.092110  -0.093889     0.003503   0.000596  -0.091915  -0.095829     0.003914 -0.083169  0.003917  0.022522     0.999819     0.999961    14.0    27.0
SolvSimEle0.8_Vdw1_Gas/solvwaterboxproddyn.bar   -0.089350  -0.090823     0.003852   0.001075  -0.088237  -0.093947     0.005710 -0.032249  0.043506  1.141207     0.999020     0.999439   704.0    13.0
Total                                           -10.170901 -10.156305     0.090368   0.040620 -10.136203 -10.186712     0.050509 -7.064819  0.246391  1.709127     0.904836     0.906129  3494.0  2338.0
