                                                dF_equ     dF_all  se_dF_block  se_dF_bar     dF_fwd     dF_bwd  ddF_fwd_bwd        dH      se_dH     sd_dE  overlap_all  overlap_equ       nA       nB
SolvSimEle0_Vdw0/solvwaterboxproddyn.bar      0.149118   0.150814     0.001935   0.002616   0.150861   0.151215     0.000354  0.104713   0.395500  0.128623     0.994226     0.994171    739.0    510.0
SolvSimEle0_Vdw0.45/solvwaterboxproddyn.bar   1.582565   1.575142     0.011175   0.008111   1.567163   1.586590     0.019427  1.687642   1.280875  0.395409     0.950161     0.957655    344.0    746.0
SolvSimEle0_Vdw0.52/solvwaterboxproddyn.bar   2.232631   2.238513     0.014817   0.011419   2.197131   2.243178     0.046047  2.788127   1.647142  0.579947     0.899127     0.897614    741.0    515.0
SolvSimEle0_Vdw0.56/solvwaterboxproddyn.bar   1.622077   1.610540     0.015071   0.013717   1.650307   1.584221     0.066087  3.797508   2.081497  0.522653     0.907673     0.909245    517.0    292.0
SolvSimEle0_Vdw0.58/solvwaterboxproddyn.bar   1.791350   1.805075     0.018142   0.024323   1.766177   1.844132     0.077954 -2.584736   3.747951  0.803960     0.812584     0.811266    292.0    264.0
SolvSimEle0_Vdw0.6/solvwaterboxproddyn.bar    1.732383   1.711123     0.014437   0.031719   1.670136   1.746867     0.076731 -5.857632   3.985857  1.034295     0.714295     0.699114    264.0    328.0
SolvSimEle0_Vdw0.62/solvwaterboxproddyn.bar   1.347504   1.340033     0.029594   0.026045   1.319534   1.330949     0.011415  0.562711   3.435911  1.040739     0.739462     0.731352    326.0    426.0
SolvSimEle0_Vdw0.64/solvwaterboxproddyn.bar   1.498581   1.512032     0.018291   0.025148   1.500136   1.642759     0.142623  1.061628   3.419284  1.345025     0.670966     0.677472    425.0    682.0
SolvSimEle0_Vdw0.67/solvwaterboxproddyn.bar   1.166686   1.165338     0.015513   0.018321   1.160834   1.210082     0.049248  1.889210   2.546218  1.105917     0.733951     0.724759    681.0    909.0
SolvSimEle0_Vdw0.7/solvwaterboxproddyn.bar    1.414592   1.408613     0.014416   0.024784   1.379806   1.389665     0.009860 -0.363189   3.203966  1.692388     0.595480     0.611146    904.0    615.0
SolvSimEle0_Vdw0.75/solvwaterboxproddyn.bar   0.951574   0.960196     0.004571   0.020697   0.992467   0.876407     0.116059  2.403481   2.842788  1.281646     0.683880     0.685180    621.0    987.0
SolvSimEle0_Vdw0.8/solvwaterboxproddyn.bar    0.530098   0.533324     0.019510   0.015880   0.518695   0.500294     0.018402 -0.042617   2.232633  1.036614     0.749633     0.753849    977.0    859.0
SolvSimEle0_Vdw0.85/solvwaterboxproddyn.bar   0.045247   0.043955     0.011953   0.014774   0.054183   0.036574     0.017610 -2.207928   2.117323  0.916901     0.785467     0.784938    866.0    920.0
SolvSimEle0_Vdw0.9/solvwaterboxproddyn.bar   -0.705952  -0.700278     0.012435   0.013690  -0.706193  -0.735557     0.029364 -4.697674   1.945211  0.841256     0.800826     0.802907    921.0    941.0
SolvSimEle0_Vdw0.95/solvwaterboxproddyn.bar  -1.755138  -1.762277     0.011501   0.013745  -1.760401  -1.741776     0.018625 -5.965548   1.946693  0.783987     0.823315     0.826137    911.0    700.0
SolvSimEle0_Vdw1/solvwaterboxproddyn.bar     -0.048360  -0.048453     0.000317   0.001146  -0.049313  -0.047716     0.001598 -0.190669   0.181078  0.071334     0.998216     0.998214    939.0   1000.0
SolvSimEle0.1_Vdw1/solvwaterboxproddyn.bar   -0.029492  -0.030185     0.001266   0.001164  -0.029103  -0.031321     0.002218 -0.200595   0.186118  0.070305     0.998261     0.998328   1000.0    762.0
SolvSimEle0.2_Vdw1/solvwaterboxproddyn.bar   -0.015392  -0.015431     0.002481   0.001197  -0.015454  -0.015337     0.000117  0.135438   0.191261  0.071159     0.998223     0.998229    763.0    874.0
SolvSimEle0.3_Vdw1/solvwaterboxproddyn.bar   -0.002024  -0.002433     0.001487   0.001197  -0.002653  -0.002158     0.000495  0.234554   0.198345  0.072978     0.998131     0.998144    846.0    845.0
SolvSimEle0.4_Vdw1/solvwaterboxproddyn.bar    0.004990   0.006078     0.001680   0.001357   0.007490   0.004492     0.002999  0.334698   0.208512  0.073692     0.998088     0.998023    777.0    752.0
SolvSimEle0.5_Vdw1/solvwaterboxproddyn.bar    0.009643   0.009958     0.001172   0.001386   0.010965   0.009166     0.001799  0.425897   0.212072  0.076225     0.997958     0.997996    653.0    860.0
SolvSimEle0.6_Vdw1/solvwaterboxproddyn.bar    0.014414   0.013830     0.001713   0.001565   0.011618   0.015789     0.004171  0.291994   0.247002  0.079258     0.997801     0.997820    764.0    542.0
SolvSimEle0.7_Vdw1/solvwaterboxproddyn.bar    0.011690   0.012832     0.002079   0.002253   0.014278   0.011667     0.002610  0.210850   0.344785  0.083667     0.997538     0.997740    414.0    257.0
SolvSimEle0.8_Vdw1/solvwaterboxproddyn.bar    0.002597   0.006590     0.003606   0.003358   0.003349   0.009829     0.006480 -0.367010   0.497873  0.092728     0.996998     0.996685    194.0    228.0
SolvSimEle0.9_Vdw1/solvwaterboxproddyn.bar   -0.008355  -0.006747     0.002906   0.003382  -0.003607  -0.009979     0.006371  0.310833   0.522827  0.101712     0.996355     0.996716    159.0    275.0
Total                                        13.543026  13.538184     0.096340   0.074593  13.408405  13.610032     0.201627 -6.238313  10.250761  3.797644     0.595480     0.611146  16038.0  16089.0
