                                dF     dF_all  se_dF_block  se_dF_bar     dF_fwd     dF_bwd  ddF_fwd_bwd     sd_dE  overlap1  overlap2      nA      nB
fep-solv-01-solv-02.bar   0.946895   0.934239     0.093926   0.022509   0.923010   0.976568     0.053558  0.676031  0.863511  0.892270   111.0    39.0
fep-solv-02-solv-03.bar   4.651152   4.417334     0.602072   0.094743   2.896868   4.877070     1.980201  2.294010  0.409819  0.512494    32.0    65.0
fep-solv-03-solv-04.bar   4.267382   3.979935     0.700900   0.051902   2.859641   4.536655     1.677014  2.454268  0.348390  0.403782    65.0    46.0
fep-solv-04-solv-05.bar   1.964955   1.977954     0.296492   0.018727   1.679233   2.103319     0.424085  1.312706  0.680782  0.678363    46.0   108.0
fep-solv-05-solv-06.bar   1.940638   1.960927     0.111351   0.019727   1.798162   1.983696     0.185534  1.129022  0.713225  0.731002   108.0   112.0
fep-solv-06-solv-07.bar   1.511479   1.556112     0.066524   0.028056   1.808474   1.099287     0.709187  1.011475  0.647131  0.640061   111.0    69.0
fep-solv-07-solv-08.bar   0.885395   0.927469     0.064835   0.026531   0.892042   0.964588     0.072546  0.914151  0.780212  0.869133    68.0    67.0
fep-solv-08-solv-09.bar   1.223210   1.122004     0.123394   0.044808   0.906958   1.755068     0.848110  1.450914  0.640272  0.694365    68.0   202.0
fep-solv-09-solv-10.bar   0.361574   0.414743     0.092222   0.026628   0.687684   0.027197     0.660486  1.352101  0.567978  0.559694   212.0   320.0
fep-solv-10-solv-11.bar  -1.087587  -1.074270     0.093585   0.026790  -1.133755  -0.928240     0.205515  1.814243  0.536854  0.629762   329.0   283.0
fep-solv-11-solv-12.bar  -2.400943  -2.458369     0.088140   0.026951  -2.610880  -2.255364     0.355516  1.562099  0.614109  0.630975   279.0   304.0
fep-solv-12-solv-13.bar  -4.322024  -4.297068     0.053425   0.016377  -4.188452  -4.517059     0.328608  1.332834  0.616620  0.617712   311.0   208.0
fep-solv-13-solv-14.bar  -6.518569  -6.513433     0.025480   0.012251  -6.598778  -6.481350     0.117428  1.034401  0.753964  0.761510   272.0   762.0
fep-solv-14-solv-15.bar  -9.109446  -9.141986     0.098563   0.017921  -8.940461  -9.185353     0.244892  1.024226  0.694122  0.706317   750.0    43.0
fep-solv-15-solv-16.bar -12.436549 -12.457398     0.110202   0.018671 -12.841384 -12.308315     0.533069  1.071999  0.745046  0.743209    42.0   183.0
fep-solv-16-solv-17.bar  -2.909876  -2.918761     0.061465   0.026756  -2.909480  -2.884949     0.024531  1.339971  0.597811  0.711060   222.0   865.0
fep-solv-17-solv-18.bar  -5.613313  -5.606917     0.070521   0.019693  -5.503508  -5.655735     0.152226  1.361263  0.565131  0.575218   886.0   793.0
fep-solv-18-solv-19.bar  -8.488951  -8.493555     0.060049   0.019035  -8.539722  -8.423118     0.116604  1.430668  0.562302  0.566395  1242.0  1322.0
fep-solv-19-solv-20.bar -11.542665 -11.533073     0.042043   0.021699 -11.515842 -11.548214     0.032372  1.522934  0.512149  0.529625  1317.0   949.0
fep-solv-20-solv-21.bar -14.751014 -14.760113     0.063670   0.022637 -14.934536 -14.624011     0.310525  1.619602  0.497003  0.505041  1020.0   615.0
fep-solv-21-solv-22.bar -18.401554 -18.445322     0.054248   0.033282 -18.562167 -18.635191     0.073023  1.688542  0.398051  0.437807   613.0   517.0
fep-solv-22-solv-23.bar -22.429295 -22.431404     0.053572   0.036049 -22.483937 -22.312194     0.171743  1.728851  0.442222  0.458064   474.0   910.0
fep-solv-23-solv-24.bar -26.491802 -26.467806     0.175560   0.031994 -26.466309 -25.969329     0.496980  1.910018  0.379570  0.384830  1213.0   323.0
fep-solv-24-solv-25.bar -31.618718 -31.604378     0.189013   0.043831 -31.381114 -31.986041     0.604926  2.106950  0.263336  0.268744   286.0   361.0
fep-solv-25-solv-26.bar -37.538626 -37.497701     0.057675   0.038626 -37.260917 -37.711531     0.450615  2.176473  0.270521  0.277636   362.0   955.0
fep-solv-26-solv-27.bar  -1.601142  -1.673459     0.100867   0.043078  -1.458878  -1.755621     0.296743  3.256386  0.485766  0.532587   649.0   155.0
